,Country,White Shark (Y/N),Fatal (Y/N)
1033,SOUTH AFRICA,Other,N
1034,EGYPT,White Shark,N
1035,REUNION,Other,N
1036,NEW ZEALAND,Other,N
1037,SOUTH AFRICA,Other,N
1039,AUSTRALIA,Other,N
1040,AUSTRALIA,Other,N
1041,NEW ZEALAND,Other,N
1042,AUSTRALIA,White Shark,N
1043,USA,Other,N
1046,NEW ZEALAND,Other,N
1047,BRAZIL,Other,N
1051,SOUTH AFRICA,White Shark,Y
1052,AUSTRALIA,White Shark,N
1060,MOZAMBIQUE,Other,N
1062,AUSTRALIA,Other,N
1065,NEW ZEALAND,White Shark,Y
1067,AUSTRALIA,White Shark,N
1068,USA,Other,N
1070,USA,Other,N
1071,USA,Other,N
1074,USA,Other,N
1075,AUSTRALIA,Other,N
1077,AUSTRALIA,White Shark,N
1078,MOZAMBIQUE,Other,N
1081,USA,Other,N
1083,SCOTLAND,Other,N
1084,AUSTRALIA,Other,N
1086,UNITED KINGDOM,Other,N
1087,USA,Other,N
1091,USA,Other,Y
1095,USA,Other,N
1096,SOUTH AFRICA,White Shark,Y
1097,USA,White Shark,N
1098,SOUTH AFRICA,White Shark,N
1100,USA,Other,N
1101,USA,Other,N
1102,BAHAMAS,Other,N
1111,BAHAMAS,Other,N
1112,USA,Other,N
1115,USA,Other,N
1116,AUSTRALIA,Other,N
1119,VIETNAM,White Shark,N
1120,EGYPT,White Shark,N
1121,EGYPT,White Shark,N
1122,EGYPT,White Shark,Y
1123,TAIWAN,Other,N
1124,USA,Other,N
1125,USA,Other,N
1126,USA,Other,N
1127,USA,Other,N
1128,GUAM,Other,N
1129,BAHAMAS,Other,N
1135,USA,Other,N
1137,AUSTRALIA,Other,N
1139,USA,White Shark,N
1141,SOUTH AFRICA,Other,N
1143,AUSTRALIA,Other,N
1146,USA,Other,N
1147,MALAYSIA,Other,N
1148,USA,Other,N
1149,AUSTRALIA,Other,N
1151,SOUTH AFRICA,Other,N
1153,AUSTRALIA,Other,N
1156,AUSTRALIA,White Shark,N
1157,AUSTRALIA,Other,N
1159,AUSTRALIA,White Shark,N
1163,CUBA,Other,N
1166,SOUTH AFRICA,Other,Y
1168,AUSTRALIA,White Shark,N
1170,SOUTH AFRICA,White Shark,Y
1171,AUSTRALIA,Other,N
1172,AUSTRALIA,White Shark,N
1173,AUSTRALIA,White Shark,N
1174,NEW ZEALAND,Other,N
1176,NEW ZEALAND,Other,N
1177,CUBA,Other,N
1179,AUSTRALIA,Other,N
1181,AUSTRALIA,White Shark,N
1182,AUSTRALIA,White Shark,Y
1183,USA,White Shark,N
1184,NEW ZEALAND,Other,N
1185,SOUTH AFRICA,Other,N
1186,AUSTRALIA,White Shark,N
1187,MOZAMBIQUE,Other,Y
1188,EGYPT,White Shark,N
1191,AUSTRALIA,Other,N
1194,AUSTRALIA,Other,N
1195,NEW CALEDONIA,Other,N
1196,AUSTRALIA,Other,N
1199,CROATIA,White Shark,N
1201,USA,Other,N
1202,AUSTRALIA,Other,N
1203,USA,Other,N
1204,USA,Other,N
1205,USA,White Shark,N
1206,AUSTRALIA,Other,N
1209,USA,Other,N
1213,ENGLAND,Other,N
1215,USA,Other,N
1220,USA,Other,N
1222,USA,Other,N
1223,AUSTRALIA,White Shark,N
1224,SOUTH AFRICA,White Shark,N
1225,PANAMA,Other,N
1226,MEXICO,Other,N
1227,USA,Other,N
1230,USA,Other,N
1231,USA,Other,N
1233,USA,Other,N
1234,EGYPT,White Shark,N
1239,UNITED KINGDOM,Other,N
1241,BAHAMAS,Other,N
1242,SOUTH AFRICA,White Shark,N
1243,SOUTH AFRICA,White Shark,N
1245,USA,Other,N
